[2026-05-19 02:00:43] Initialized ContinuousLogger for representation_ae_depth_to_width (Mode: ae_depth_to_width)
[2026-05-19 02:00:43] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_log.txt
[2026-05-19 02:00:43] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_stats.csv
[2026-05-19 02:00:43] [CANDIDATE] task=representation phase=ae_depth_to_width index=0 search_phase=depth architecture=[1]
[2026-05-19 02:05:25] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=113 architecture=[1] train_loss=0.970622 val_loss=0.971047 best=0.971047 es=0/5
[2026-05-19 02:05:28] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=114 architecture=[1] train_loss=0.970210 val_loss=0.970574 best=0.970574 es=0/5
[2026-05-19 02:05:31] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=115 architecture=[1] train_loss=0.969798 val_loss=0.970208 best=0.970208 es=0/5
[2026-05-19 02:05:33] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=116 architecture=[1] train_loss=0.969359 val_loss=0.969672 best=0.969672 es=0/5
[2026-05-19 02:05:35] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=117 architecture=[1] train_loss=0.968927 val_loss=0.969333 best=0.969333 es=0/5
[2026-05-19 02:05:38] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=118 architecture=[1] train_loss=0.968536 val_loss=0.968903 best=0.968903 es=0/5
[2026-05-19 02:05:40] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=119 architecture=[1] train_loss=0.968170 val_loss=0.968649 best=0.968649 es=0/5
[2026-05-19 02:05:43] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=120 architecture=[1] train_loss=0.967781 val_loss=0.968293 best=0.968293 es=0/5
[2026-05-19 02:05:45] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=121 architecture=[1] train_loss=0.967440 val_loss=0.967827 best=0.967827 es=0/5
[2026-05-19 02:05:48] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=122 architecture=[1] train_loss=0.967018 val_loss=0.967424 best=0.967424 es=0/5
