[2026-05-16 23:01:18] Initialized ContinuousLogger for representation_bayes (Mode: bayes)
[2026-05-16 23:06:29] [representation][bayes][cand_000_d2_w4] epoch=95 train_loss=0.834329 val_loss=0.843562 best=0.843562 es=0/5
[2026-05-16 23:06:33] [representation][bayes][cand_000_d2_w4] epoch=96 train_loss=0.833599 val_loss=0.842633 best=0.842633 es=0/5
[2026-05-16 23:06:37] [representation][bayes][cand_000_d2_w4] epoch=97 train_loss=0.833006 val_loss=0.842191 best=0.842191 es=0/5
[2026-05-16 23:06:42] [representation][bayes][cand_000_d2_w4] epoch=98 train_loss=0.832579 val_loss=0.841715 best=0.841715 es=0/5
[2026-05-16 23:06:46] [representation][bayes][cand_000_d2_w4] epoch=99 train_loss=0.832165 val_loss=0.841283 best=0.841283 es=0/5
[2026-05-16 23:06:50] [representation][bayes][cand_000_d2_w4] epoch=100 train_loss=0.831624 val_loss=0.840693 best=0.840693 es=0/5
[2026-05-16 23:06:54] [representation][bayes][cand_000_d2_w4] epoch=101 train_loss=0.831231 val_loss=0.840194 best=0.840194 es=0/5
[2026-05-16 23:06:59] [representation][bayes][cand_000_d2_w4] epoch=102 train_loss=0.830753 val_loss=0.839664 best=0.839664 es=0/5
[2026-05-16 23:07:03] [representation][bayes][cand_000_d2_w4] epoch=103 train_loss=0.830252 val_loss=0.839174 best=0.839174 es=0/5
[2026-05-16 23:07:08] [representation][bayes][cand_000_d2_w4] epoch=104 train_loss=0.829824 val_loss=0.838629 best=0.838629 es=0/5
[2026-05-16 23:07:12] [representation][bayes][cand_000_d2_w4] epoch=105 train_loss=0.828874 val_loss=0.837388 best=0.837388 es=0/5
[2026-05-16 23:07:17] [representation][bayes][cand_000_d2_w4] epoch=106 train_loss=0.827918 val_loss=0.836579 best=0.836579 es=0/5
[2026-05-16 23:07:22] [representation][bayes][cand_000_d2_w4] epoch=107 train_loss=0.827205 val_loss=0.835971 best=0.835971 es=0/5
[2026-05-16 23:07:27] [representation][bayes][cand_000_d2_w4] epoch=108 train_loss=0.826569 val_loss=0.835198 best=0.835198 es=0/5
[2026-05-16 23:07:33] [representation][bayes][cand_000_d2_w4] epoch=109 train_loss=0.825816 val_loss=0.834475 best=0.834475 es=0/5
[2026-05-16 23:07:38] [representation][bayes][cand_000_d2_w4] epoch=110 train_loss=0.825358 val_loss=0.834089 best=0.834089 es=0/5
[2026-05-16 23:07:44] [representation][bayes][cand_000_d2_w4] epoch=111 train_loss=0.825046 val_loss=0.833665 best=0.833665 es=0/5
[2026-05-16 23:07:50] [representation][bayes][cand_000_d2_w4] epoch=112 train_loss=0.824652 val_loss=0.833251 best=0.833251 es=0/5
[2026-05-16 23:07:55] [representation][bayes][cand_000_d2_w4] epoch=113 train_loss=0.824375 val_loss=0.832791 best=0.832791 es=0/5
[2026-05-16 23:08:00] [representation][bayes][cand_000_d2_w4] epoch=114 train_loss=0.824040 val_loss=0.832485 best=0.832485 es=0/5
[2026-05-16 23:08:06] [representation][bayes][cand_000_d2_w4] epoch=115 train_loss=0.823765 val_loss=0.832305 best=0.832305 es=0/5
[2026-05-16 23:08:12] [representation][bayes][cand_000_d2_w4] epoch=116 train_loss=0.823535 val_loss=0.832067 best=0.832067 es=0/5
[2026-05-16 23:08:18] [representation][bayes][cand_000_d2_w4] epoch=117 train_loss=0.823332 val_loss=0.831888 best=0.831888 es=0/5
[2026-05-16 23:08:23] [representation][bayes][cand_000_d2_w4] epoch=118 train_loss=0.823311 val_loss=0.831718 best=0.831718 es=0/5
[2026-05-16 23:08:29] [representation][bayes][cand_000_d2_w4] epoch=119 train_loss=0.823210 val_loss=0.831556 best=0.831556 es=0/5
[2026-05-16 23:08:35] [representation][bayes][cand_000_d2_w4] epoch=120 train_loss=0.822354 val_loss=0.828340 best=0.828340 es=0/5
[2026-05-16 23:08:42] [representation][bayes][cand_000_d2_w4] epoch=121 train_loss=0.820540 val_loss=0.827955 best=0.827955 es=0/5
[2026-05-16 23:08:48] [representation][bayes][cand_000_d2_w4] epoch=122 train_loss=0.820301 val_loss=0.827898 best=0.827955 es=1/5
[2026-05-16 23:08:54] [representation][bayes][cand_000_d2_w4] epoch=123 train_loss=0.820151 val_loss=0.827556 best=0.827556 es=0/5
[2026-05-16 23:09:00] [representation][bayes][cand_000_d2_w4] epoch=124 train_loss=0.820195 val_loss=0.827429 best=0.827429 es=0/5
[2026-05-16 23:09:07] [representation][bayes][cand_000_d2_w4] epoch=125 train_loss=0.819633 val_loss=0.826722 best=0.826722 es=0/5
[2026-05-16 23:09:13] [representation][bayes][cand_000_d2_w4] epoch=126 train_loss=0.819209 val_loss=0.826505 best=0.826505 es=0/5
[2026-05-16 23:09:19] [representation][bayes][cand_000_d2_w4] epoch=127 train_loss=0.818912 val_loss=0.826002 best=0.826002 es=0/5
[2026-05-16 23:09:26] [representation][bayes][cand_000_d2_w4] epoch=128 train_loss=0.818573 val_loss=0.825820 best=0.825820 es=0/5
[2026-05-16 23:09:34] [representation][bayes][cand_000_d2_w4] epoch=129 train_loss=0.818589 val_loss=0.825545 best=0.825545 es=0/5
[2026-05-16 23:09:40] [representation][bayes][cand_000_d2_w4] epoch=130 train_loss=0.817958 val_loss=0.824755 best=0.824755 es=0/5
[2026-05-16 23:09:48] [representation][bayes][cand_000_d2_w4] epoch=131 train_loss=0.817289 val_loss=0.823957 best=0.823957 es=0/5
[2026-05-16 23:09:54] [representation][bayes][cand_000_d2_w4] epoch=132 train_loss=0.816481 val_loss=0.823461 best=0.823461 es=0/5
[2026-05-16 23:10:03] [representation][bayes][cand_000_d2_w4] epoch=133 train_loss=0.816277 val_loss=0.822895 best=0.822895 es=0/5
[2026-05-16 23:10:10] [representation][bayes][cand_000_d2_w4] epoch=134 train_loss=0.814906 val_loss=0.821473 best=0.821473 es=0/5
[2026-05-16 23:10:18] [representation][bayes][cand_000_d2_w4] epoch=135 train_loss=0.813178 val_loss=0.819267 best=0.819267 es=0/5
