[2025-12-16 09:45:38] Initialized ContinuousLogger for ae_stl (Mode: width_to_depth)
[2025-12-16 09:45:38] Logs: results_adp_ae_stl_cifar10_w1d1_w2d\training_log.txt
[2025-12-16 09:45:38] CSV: results_adp_ae_stl_cifar10_w1d1_w2d\training_stats.csv
[2025-12-16 09:45:38] 
================================================================================
[2025-12-16 09:45:38] ADP SEARCH STARTED: mode=width_to_depth, delta=0.001
[2025-12-16 09:45:38] Initial: width=1, depth=1, neurons=2
[2025-12-16 09:45:38] ================================================================================

[2025-12-16 09:45:38] [INITIAL TRAINING] width=1, depth=1
[2025-12-16 10:02:09]   Epoch   1/10000000000000000000 | Device: cuda | Train Loss: 0.147005 | Val Loss: 0.081991 | Best: 0.081991 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:02:18]   Epoch   2/10000000000000000000 | Device: cuda | Train Loss: 0.058610 | Val Loss: 0.041793 | Best: 0.041793 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:02:26]   Epoch   3/10000000000000000000 | Device: cuda | Train Loss: 0.037193 | Val Loss: 0.033838 | Best: 0.033838 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:02:35]   Epoch   4/10000000000000000000 | Device: cuda | Train Loss: 0.032244 | Val Loss: 0.030247 | Best: 0.030247 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:02:43]   Epoch   5/10000000000000000000 | Device: cuda | Train Loss: 0.029155 | Val Loss: 0.027552 | Best: 0.027552 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:02:52]   Epoch   6/10000000000000000000 | Device: cuda | Train Loss: 0.026750 | Val Loss: 0.025366 | Best: 0.025366 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:03:01]   Epoch   7/10000000000000000000 | Device: cuda | Train Loss: 0.024752 | Val Loss: 0.023502 | Best: 0.023502 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:03:09]   Epoch   8/10000000000000000000 | Device: cuda | Train Loss: 0.022990 | Val Loss: 0.021784 | Best: 0.021784 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:03:18]   Epoch   9/10000000000000000000 | Device: cuda | Train Loss: 0.021258 | Val Loss: 0.019918 | Best: 0.019918 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:03:27]   Epoch  10/10000000000000000000 | Device: cuda | Train Loss: 0.019198 | Val Loss: 0.017483 | Best: 0.017483 | ES: 0/10 ✓ NEW BEST
