[2025-12-15 20:18:27] Initialized ContinuousLogger for adp_resnet (Mode: width_only)
[2025-12-15 20:18:27] Logs: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_log.txt
[2025-12-15 20:18:27] CSV: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_stats.csv
[2025-12-15 20:18:27] [INITIAL TRAINING]
[2025-12-15 22:00:46]   Epoch 077/10000000000000000000 | train=1.0428 | val=1.0441 | best=1.0100 | ES=3/10
[2025-12-15 22:01:38]   Epoch 078/10000000000000000000 | train=1.0453 | val=1.0107 | best=1.0100 | ES=4/10
[2025-12-15 22:02:29]   Epoch 079/10000000000000000000 | train=1.0432 | val=1.0225 | best=1.0100 | ES=5/10
[2025-12-15 22:03:21]   Epoch 080/10000000000000000000 | train=1.0556 | val=1.0051 | best=1.0051 | ES=0/10
[2025-12-15 22:04:13]   Epoch 081/10000000000000000000 | train=1.0464 | val=1.0100 | best=1.0051 | ES=1/10
[2025-12-15 22:05:04]   Epoch 082/10000000000000000000 | train=1.0425 | val=1.0182 | best=1.0051 | ES=2/10
[2025-12-15 22:05:54]   Epoch 083/10000000000000000000 | train=1.0395 | val=1.0184 | best=1.0051 | ES=3/10
[2025-12-15 22:06:45]   Epoch 084/10000000000000000000 | train=1.0420 | val=1.0034 | best=1.0034 | ES=0/10
[2025-12-15 22:07:37]   Epoch 085/10000000000000000000 | train=1.0347 | val=0.9899 | best=0.9899 | ES=0/10
[2025-12-15 22:08:28]   Epoch 086/10000000000000000000 | train=1.0385 | val=0.9966 | best=0.9899 | ES=1/10
[2025-12-15 22:09:23]   Epoch 087/10000000000000000000 | train=1.0358 | val=0.9943 | best=0.9899 | ES=2/10
[2025-12-15 22:10:14]   Epoch 088/10000000000000000000 | train=1.0341 | val=0.9991 | best=0.9899 | ES=3/10
[2025-12-15 22:11:12]   Epoch 089/10000000000000000000 | train=1.0299 | val=0.9964 | best=0.9899 | ES=4/10
[2025-12-15 22:12:11]   Epoch 090/10000000000000000000 | train=1.0301 | val=0.9866 | best=0.9866 | ES=0/10
[2025-12-15 22:13:16]   Epoch 091/10000000000000000000 | train=1.0321 | val=1.0291 | best=0.9866 | ES=1/10
[2025-12-15 22:14:16]   Epoch 092/10000000000000000000 | train=1.0277 | val=0.9814 | best=0.9814 | ES=0/10
[2025-12-15 22:15:11]   Epoch 093/10000000000000000000 | train=1.0275 | val=0.9901 | best=0.9814 | ES=1/10
[2025-12-15 22:16:13]   Epoch 094/10000000000000000000 | train=1.0257 | val=0.9949 | best=0.9814 | ES=2/10
[2025-12-15 22:17:08]   Epoch 095/10000000000000000000 | train=1.0237 | val=0.9795 | best=0.9795 | ES=0/10
[2025-12-15 22:18:02]   Epoch 096/10000000000000000000 | train=1.0265 | val=1.0338 | best=0.9795 | ES=1/10
[2025-12-15 22:19:03]   Epoch 097/10000000000000000000 | train=1.0309 | val=0.9935 | best=0.9795 | ES=2/10
[2025-12-15 22:20:03]   Epoch 098/10000000000000000000 | train=1.0228 | val=0.9894 | best=0.9795 | ES=3/10
[2025-12-15 22:21:01]   Epoch 099/10000000000000000000 | train=1.0229 | val=0.9765 | best=0.9765 | ES=0/10
[2025-12-15 22:22:01]   Epoch 100/10000000000000000000 | train=1.0169 | val=0.9754 | best=0.9754 | ES=0/10
[2025-12-15 22:22:58]   Epoch 101/10000000000000000000 | train=1.0186 | val=0.9819 | best=0.9754 | ES=1/10
[2025-12-15 22:23:56]   Epoch 102/10000000000000000000 | train=1.0188 | val=0.9743 | best=0.9743 | ES=0/10
[2025-12-15 22:24:57]   Epoch 103/10000000000000000000 | train=1.0114 | val=0.9900 | best=0.9743 | ES=1/10
[2025-12-15 22:25:57]   Epoch 104/10000000000000000000 | train=1.0215 | val=0.9813 | best=0.9743 | ES=2/10
[2025-12-15 22:27:02]   Epoch 105/10000000000000000000 | train=1.0156 | val=0.9693 | best=0.9693 | ES=0/10
[2025-12-15 22:28:02]   Epoch 106/10000000000000000000 | train=1.0153 | val=1.0070 | best=0.9693 | ES=1/10
[2025-12-15 22:29:03]   Epoch 107/10000000000000000000 | train=1.0143 | val=0.9861 | best=0.9693 | ES=2/10
[2025-12-15 22:30:15]   Epoch 108/10000000000000000000 | train=1.0160 | val=1.0048 | best=0.9693 | ES=3/10
[2025-12-15 22:31:14]   Epoch 109/10000000000000000000 | train=1.0150 | val=0.9783 | best=0.9693 | ES=4/10
[2025-12-15 22:32:09]   Epoch 110/10000000000000000000 | train=1.0135 | val=0.9904 | best=0.9693 | ES=5/10
[2025-12-15 22:33:10]   Epoch 111/10000000000000000000 | train=1.0099 | val=0.9692 | best=0.9692 | ES=0/10
[2025-12-15 22:34:09]   Epoch 112/10000000000000000000 | train=1.0050 | val=0.9661 | best=0.9661 | ES=0/10
[2025-12-15 22:35:08]   Epoch 113/10000000000000000000 | train=1.0076 | val=0.9575 | best=0.9575 | ES=0/10
[2025-12-15 22:36:03]   Epoch 114/10000000000000000000 | train=1.0088 | val=0.9973 | best=0.9575 | ES=1/10
[2025-12-15 22:37:01]   Epoch 115/10000000000000000000 | train=1.0058 | val=0.9951 | best=0.9575 | ES=2/10
[2025-12-15 22:38:00]   Epoch 116/10000000000000000000 | train=1.0063 | val=0.9685 | best=0.9575 | ES=3/10
[2025-12-15 22:38:54]   Epoch 117/10000000000000000000 | train=1.0035 | val=0.9609 | best=0.9575 | ES=4/10
[2025-12-15 22:39:54]   Epoch 118/10000000000000000000 | train=1.0061 | val=0.9730 | best=0.9575 | ES=5/10
[2025-12-15 22:40:52]   Epoch 119/10000000000000000000 | train=1.0052 | val=0.9492 | best=0.9492 | ES=0/10
[2025-12-15 22:41:44]   Epoch 120/10000000000000000000 | train=1.0010 | val=0.9777 | best=0.9492 | ES=1/10
[2025-12-15 22:42:40]   Epoch 121/10000000000000000000 | train=0.9983 | val=1.0114 | best=0.9492 | ES=2/10
[2025-12-15 22:43:35]   Epoch 122/10000000000000000000 | train=1.0028 | val=0.9672 | best=0.9492 | ES=3/10
[2025-12-15 22:44:35]   Epoch 123/10000000000000000000 | train=1.0007 | val=0.9738 | best=0.9492 | ES=4/10
[2025-12-15 22:45:33]   Epoch 124/10000000000000000000 | train=0.9963 | val=0.9560 | best=0.9492 | ES=5/10
[2025-12-15 22:46:31]   Epoch 125/10000000000000000000 | train=1.0019 | val=0.9465 | best=0.9465 | ES=0/10
[2025-12-15 22:47:27]   Epoch 126/10000000000000000000 | train=0.9928 | val=0.9456 | best=0.9456 | ES=0/10
[2025-12-15 22:48:24]   Epoch 127/10000000000000000000 | train=0.9950 | val=0.9493 | best=0.9456 | ES=1/10
[2025-12-15 22:49:19]   Epoch 128/10000000000000000000 | train=0.9942 | val=0.9543 | best=0.9456 | ES=2/10
[2025-12-15 22:50:15]   Epoch 129/10000000000000000000 | train=0.9915 | val=0.9724 | best=0.9456 | ES=3/10
[2025-12-15 22:51:12]   Epoch 130/10000000000000000000 | train=0.9932 | val=0.9398 | best=0.9398 | ES=0/10
[2025-12-15 22:52:08]   Epoch 131/10000000000000000000 | train=0.9918 | val=0.9578 | best=0.9398 | ES=1/10
[2025-12-15 22:53:06]   Epoch 132/10000000000000000000 | train=0.9905 | val=0.9458 | best=0.9398 | ES=2/10
[2025-12-15 22:54:07]   Epoch 133/10000000000000000000 | train=0.9926 | val=0.9740 | best=0.9398 | ES=3/10
[2025-12-15 22:55:13]   Epoch 134/10000000000000000000 | train=0.9913 | val=0.9428 | best=0.9398 | ES=4/10
[2025-12-15 22:56:14]   Epoch 135/10000000000000000000 | train=0.9865 | val=0.9623 | best=0.9398 | ES=5/10
[2025-12-15 22:57:11]   Epoch 136/10000000000000000000 | train=0.9912 | val=0.9491 | best=0.9398 | ES=6/10
[2025-12-15 22:58:12]   Epoch 137/10000000000000000000 | train=0.9846 | val=0.9589 | best=0.9398 | ES=7/10
[2025-12-15 22:59:08]   Epoch 138/10000000000000000000 | train=0.9860 | val=0.9676 | best=0.9398 | ES=8/10
[2025-12-15 23:00:04]   Epoch 139/10000000000000000000 | train=0.9868 | val=0.9693 | best=0.9398 | ES=9/10
[2025-12-15 23:01:02]   Epoch 140/10000000000000000000 | train=0.9872 | val=0.9470 | best=0.9398 | ES=10/10
[2025-12-15 23:02:06]   Epoch 001/10000000000000000000 | train=0.9964 | val=0.9464 | best=0.9464 | ES=0/10
