[2026-05-20 14:21:19] Initialized ContinuousLogger for autoencoding_ae_depth_to_width (Mode: ae_depth_to_width)
[2026-05-20 14:21:19] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/training_log.txt
[2026-05-20 14:21:19] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/training_stats.csv
[2026-05-20 14:21:19] [CANDIDATE] task=autoencoding phase=ae_depth_to_width index=0 search_phase=depth architecture=[1]
[2026-05-20 14:27:21] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=133 architecture=[1] train_loss=0.952290 val_loss=0.960434 best=0.960434 es=0/5
[2026-05-20 14:27:24] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=134 architecture=[1] train_loss=0.951779 val_loss=0.959942 best=0.959942 es=0/5
[2026-05-20 14:27:27] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=135 architecture=[1] train_loss=0.951291 val_loss=0.959467 best=0.959467 es=0/5
[2026-05-20 14:27:30] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=136 architecture=[1] train_loss=0.950820 val_loss=0.959008 best=0.959008 es=0/5
[2026-05-20 14:27:33] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=137 architecture=[1] train_loss=0.950368 val_loss=0.958568 best=0.958568 es=0/5
[2026-05-20 14:27:35] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=138 architecture=[1] train_loss=0.949935 val_loss=0.958151 best=0.958151 es=0/5
[2026-05-20 14:27:38] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=139 architecture=[1] train_loss=0.949515 val_loss=0.957748 best=0.957748 es=0/5
[2026-05-20 14:27:41] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=140 architecture=[1] train_loss=0.949118 val_loss=0.957361 best=0.957361 es=0/5
[2026-05-20 14:27:44] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=141 architecture=[1] train_loss=0.948739 val_loss=0.956994 best=0.956994 es=0/5
[2026-05-20 14:27:46] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=142 architecture=[1] train_loss=0.948376 val_loss=0.956645 best=0.956645 es=0/5
