[2026-05-16 17:32:52] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 17:38:50] [representation][random][cand_008_d3_w2] epoch=146 train_loss=0.896457 val_loss=0.904755 best=0.904827 es=3/5
[2026-05-16 17:38:52] [representation][random][cand_008_d3_w2] epoch=147 train_loss=0.896414 val_loss=0.904721 best=0.904721 es=0/5
[2026-05-16 17:38:55] [representation][random][cand_008_d3_w2] epoch=148 train_loss=0.896395 val_loss=0.904688 best=0.904721 es=1/5
[2026-05-16 17:38:57] [representation][random][cand_008_d3_w2] epoch=149 train_loss=0.896359 val_loss=0.904673 best=0.904721 es=2/5
[2026-05-16 17:39:00] [representation][random][cand_008_d3_w2] epoch=150 train_loss=0.896341 val_loss=0.904646 best=0.904721 es=3/5
[2026-05-16 17:39:02] [representation][random][cand_008_d3_w2] epoch=151 train_loss=0.896315 val_loss=0.904629 best=0.904721 es=4/5
[2026-05-16 17:39:05] [representation][random][cand_008_d3_w2] epoch=152 train_loss=0.896298 val_loss=0.904606 best=0.904606 es=0/5
[2026-05-16 17:39:07] [representation][random][cand_008_d3_w2] epoch=153 train_loss=0.896275 val_loss=0.904586 best=0.904606 es=1/5
[2026-05-16 17:39:10] [representation][random][cand_008_d3_w2] epoch=154 train_loss=0.896258 val_loss=0.904570 best=0.904606 es=2/5
[2026-05-16 17:39:12] [representation][random][cand_008_d3_w2] epoch=155 train_loss=0.896241 val_loss=0.904544 best=0.904606 es=3/5
[2026-05-16 17:39:15] [representation][random][cand_008_d3_w2] epoch=156 train_loss=0.896209 val_loss=0.904498 best=0.904498 es=0/5
[2026-05-16 17:39:17] [representation][random][cand_008_d3_w2] epoch=157 train_loss=0.896174 val_loss=0.904457 best=0.904498 es=1/5
[2026-05-16 17:39:20] [representation][random][cand_008_d3_w2] epoch=158 train_loss=0.896119 val_loss=0.904401 best=0.904498 es=2/5
[2026-05-16 17:39:22] [representation][random][cand_008_d3_w2] epoch=159 train_loss=0.896072 val_loss=0.904365 best=0.904365 es=0/5
[2026-05-16 17:39:24] [representation][random][cand_008_d3_w2] epoch=160 train_loss=0.896033 val_loss=0.904345 best=0.904365 es=1/5
[2026-05-16 17:39:27] [representation][random][cand_008_d3_w2] epoch=161 train_loss=0.896020 val_loss=0.904315 best=0.904365 es=2/5
[2026-05-16 17:39:29] [representation][random][cand_008_d3_w2] epoch=162 train_loss=0.895986 val_loss=0.904298 best=0.904365 es=3/5
[2026-05-16 17:39:32] [representation][random][cand_008_d3_w2] epoch=163 train_loss=0.895969 val_loss=0.904284 best=0.904365 es=4/5
[2026-05-16 17:39:34] [representation][random][cand_008_d3_w2] epoch=164 train_loss=0.895956 val_loss=0.904270 best=0.904365 es=5/5
